CODIGO,MODALIDAD,EDAD,CINTA_RANKING,GENERO,POSICION,ATLETA,PUNTAJE
C68,Combate,6-7 años,Amarillo en adelante,Femenino,1,Victoria Bastidas,500
C68,Combate,6-7 años,Amarillo en adelante,Femenino,2,Aurora Isea,400
C64,Combate,6-7 años,Blanco-Celeste,Masculino,1,Ignacio Bejarano,500
C64,Combate,6-7 años,Blanco-Celeste,Masculino,2,Alain Villarroel,400
C64,Combate,6-7 años,Blanco-Celeste,Masculino,3,Sebastián Chacin,300
C70,Combate,8-9 años,Amarillo-Naranja,Masculino,1,Joel Dorta,500
C70,Combate,8-9 años,Amarillo-Naranja,Masculino,2,Estheban Acuña,400
C70,Combate,8-9 años,Amarillo-Naranja,Masculino,3,Junior Tovar,300
C69,Combate,8-9 años,Blanco-Celeste,Masculino,1,Ebert Riera,500
C69,Combate,8-9 años,Blanco-Celeste,Masculino,2,Isaac López,400
C71,Combate,8-9 años,Verde-Negro,Masculino,1,Alexander Tamayo,500
C71,Combate,8-9 años,Verde-Negro,Masculino,2,Ángelo Duran,400
C79,Combate,10-11 años,Amarillo-Naranja,Femenino,1,Aylin De Freitas,500
C76,Combate,10-11 años,Amarillo-Naranja,Masculino,1,Marcos Vivas,500
C76,Combate,10-11 años,Amarillo-Naranja,Masculino,2,Isaac Castillo,400
C76,Combate,10-11 años,Amarillo-Naranja,Masculino,3,Alejandro Hernández,300
C78,Combate,10-11 años,Blanco-Celeste,Femenino,1,Maria Hernández,500
C78,Combate,10-11 años,Blanco-Celeste,Femenino,2,Ivanna Garcia,400
C75,Combate,10-11 años,Blanco-Celeste,Masculino,1,Luis López,500
C75,Combate,10-11 años,Blanco-Celeste,Masculino,2,Javier Padilla,400
C75,Combate,10-11 años,Blanco-Celeste,Masculino,3,Yoelver Pérez,300
C77,Combate,10-11 años,Purpura-Negra,Masculino,1,Kevin Guerrero,500
C80,Combate,10-11 años,Verde-Negro,Femenino,1,Isabella Villalobos,500
C128/C130,Formas con Armas,10-13 años,Blanco-Amarillo,Mixto,1,Luis López,500
C128/C130,Formas con Armas,10-13 años,Blanco-Amarillo,Mixto,2,Javier Padilla,400
SIN_CATEGORIA_5A,Formas Creativas,10-13 años,Blanco-Amarillo,Mixto,1,Luis López,500
SIN_CATEGORIA_5A,Formas Creativas,10-13 años,Blanco-Amarillo,Mixto,2,Javier Padilla,400
C128/C129/C130/C131,Formas con Armas,10-13 años,Naranja-Negro,Mixto,1,Isabella Villalobos,500
C128/C129/C130/C131,Formas con Armas,10-13 años,Naranja-Negro,Mixto,2,Marcos Vivas,400
C118/C119,Formas Creativas,10-13 años,Naranja-Negro,Mixto,1,Isabella Villalobos,500
C118/C119,Formas Creativas,10-13 años,Naranja-Negro,Mixto,2,Marcos Vivas,400
C86,Combate,12-13 años,Amarillo-Naranja,Femenino,1,Rut Arteaga,500
C82,Combate,12-13 años,Amarillo-Naranja,Masculino,1,Derek Aguirre,500
C82,Combate,12-13 años,Amarillo-Naranja,Masculino,2,Matías Pérez,400
C85,Combate,12-13 años,Blanco-Celeste,Femenino,1,Carla Rojas,500
C85,Combate,12-13 años,Blanco-Celeste,Femenino,2,Irisbeth Blanco,400
C81,Combate,12-13 años,Blanco-Celeste,Masculino,1,Kevin Navas,500
C81,Combate,12-13 años,Blanco-Celeste,Masculino,2,Leonardo Contreras,400
C88,Combate,12-13 años,Purpura-Negro,Femenino,1,Arhanza López,500
C84,Combate,12-13 años,Purpura-Negro,Masculino,1,Leandro Guillen,500
C89,Combate,14-15 años,Blanco-Celeste,Masculino,1,Rodrigo Domingo,500
C95,Combate,14-15 años,Purpura-Verde,Femenino,1,Josmary Oliveros,500
